年份,省份,城市,员工人数,营业额,利润
2016,陕西,安康,728,23045,1382.7
2016,陕西,商洛,966,38821,-6987.78
2016,甘肃,兰州,547,23851,-2146.59
2016,甘肃,嘉峪关,116,81892,-9827.04
2016,甘肃,金昌,881,27587,11034.8
2016,甘肃,白银,958,23000,6670
2016,甘肃,天水,921,38710,5806.5
2016,甘肃,酒泉,772,97574,-18539.06
2016,甘肃,张掖,581,76386,-18332.64
2016,甘肃,武威,354,6721,-1276.99
2016,甘肃,定西,685,43235,-3026.45
2016,甘肃,陇南,893,11249,224.98
2016,甘肃,平凉,660,33520,-2681.6
2016,甘肃,庆阳,306,99121,26762.67
2016,甘肃,临夏,236,22426,-5830.76
2016,甘肃,甘南,554,65055,-1951.65
2016,宁夏,银川,281,76240,6861.6
2016,宁夏,石嘴山,812,47444,-3795.52
2016,宁夏,吴忠,606,51940,25450.6
2016,宁夏,固原,152,14856,3416.88
2016,青海,西宁,566,64876,15570.24
2016,青海,海东,527,84997,-20399.28
2016,青海,海南,178,80635,-19352.4
2016,青海,海北,593,80466,-20116.5
2016,青海,黄南,599,48101,3367.07
2016,青海,玉树,395,28267,-3392.04
2016,青海,果洛,633,60376,-4830.08
2016,青海,海西,101,80581,37067.26
2016,新疆,乌鲁木齐,664,93303,28923.93
2016,新疆,石河子,433,54349,16848.19
2016,新疆,克拉玛依,13,92962,29747.84
2016,新疆,伊犁,447,77674,5437.18
2016,新疆,巴音郭勒,793,80417,-4020.85
2016,新疆,昌吉,982,29623,9183.13
2016,新疆,克孜勒苏柯尔克孜,335,26211,6028.53
2016,新疆,博 尔塔拉,192,14102,1551.22
2016,新疆,吐鲁番,852,80785,8078.5
2016,新疆,哈密,372,91544,-10069.84
2016,新疆,喀什,715,613,91.95
2016,新疆,和田,622,17985,7373.85
2016,新疆,阿克苏,941,96325,15412
2016,台湾,台北,76,303,3.03
2016,台湾,高雄,361,97304,48652
2016,台湾,台中,388,75737,-15904.77
2016,台湾,台南,153,71587,-19328.49
2016,台湾,屏东,439,80019,-18404.37
2016,台湾,南投,80,29628,-2073.96
2016,台湾,云林,103,88315,15896.7
2016,台湾,新竹,482,75413,-18099.12
2016,台湾,彰化,883,64160,21172.8
2016,台湾,苗栗,873,84263,-11796.82
2016,台湾,嘉义,835,65246,20226.26
2016,台湾,花莲,777,2544,737.76
2016,台湾,桃园,477,29259,2340.72
2016,台湾,宜兰,670,64658,-16811.08
2016,台湾,基隆,103,98566,20698.86
2016,台湾,台东,282,26124,10449.6
2016,台湾,金门,534,4399,703.84
2016,台湾,马祖,554,96007,28802.1
2016,台湾,澎湖,36,32032,11851.84
